#---------------------------------------------------------------------------
# 
# NOTICE: this data set that was exported by the EMIT model coupling framework, use at your own risk 
# 
# Date Exported: 06/15/2016 
# Site Name: Climate Station at Logan River Golf Course 
# Site Code: LR_GC_C 
# Variable Name: Precipitation 
# Variable Code: Precip_Tot_Avg 
# Unit: cm 
# Category: Incremental 
# Type: Hydrology 
# Begin Date: 2014-01-14 10:00:00 
# End Date: 2016-06-14 23:00:00 
# Description: Precipitation measured using a Geonor T-200B rain gage. 
#---------------------------------------------------------------------------
# 
# 
# Date, Value 
06-12-2016 07:30:00, 32.95022 
06-12-2016 07:45:00, 32.95081 
06-12-2016 08:00:00, 32.95022 
06-12-2016 08:15:00, 33.00113 
06-12-2016 08:30:00, 33.01476 
06-12-2016 08:45:00, 33.01239 
06-12-2016 09:00:00, 33.01179 
06-12-2016 09:15:00, 33.0112 
06-12-2016 09:30:00, 33.01298 
06-12-2016 09:45:00, 33.01239 
06-12-2016 10:00:00, 33.0112 
06-12-2016 10:15:00, 33.01061 
06-12-2016 10:30:00, 33.00824 
06-12-2016 10:45:00, 33.00765 
06-12-2016 11:00:00, 33.00647 
06-12-2016 11:15:00, 33.00587 
06-12-2016 11:30:00, 33.0035 
06-12-2016 11:45:00, 33.00232 
06-12-2016 12:00:00, 33.00172 
06-12-2016 12:15:00, 32.99936 
06-12-2016 12:30:00, 32.99877 
06-12-2016 12:45:00, 32.99699 
06-12-2016 13:00:00, 32.9958 
06-12-2016 13:15:00, 32.99403 
06-12-2016 13:30:00, 32.99284 
06-12-2016 13:45:00, 32.99225 
06-12-2016 14:00:00, 32.99284 
06-12-2016 14:15:00, 32.99166 
06-12-2016 14:30:00, 32.99166 
06-12-2016 14:45:00, 32.99106 
06-12-2016 15:00:00, 32.98988 
06-12-2016 15:15:00, 32.98929 
06-12-2016 15:30:00, 32.98929 
06-12-2016 15:45:00, 32.9887 
06-12-2016 16:00:00, 32.9887 
06-12-2016 16:15:00, 32.98929 
06-12-2016 16:30:00, 32.99047 
06-12-2016 16:45:00, 32.99047 
06-12-2016 17:00:00, 32.99106 
06-12-2016 17:15:00, 32.99047 
06-12-2016 17:30:00, 32.99106 
06-12-2016 17:45:00, 32.99047 
06-12-2016 18:00:00, 32.98929 
06-12-2016 18:15:00, 32.98929 
06-12-2016 18:30:00, 32.99225 
06-12-2016 18:45:00, 32.99462 
06-12-2016 19:00:00, 32.9964 
06-12-2016 19:15:00, 32.99758 
06-12-2016 19:30:00, 32.99817 
06-12-2016 19:45:00, 32.99936 
06-12-2016 20:00:00, 32.99995 
06-12-2016 20:15:00, 33.00291 
06-12-2016 20:30:00, 34.80033 
06-12-2016 20:45:00, 34.87998 
06-12-2016 21:00:00, 34.8818 
06-12-2016 21:15:00, 34.88301 
06-12-2016 21:30:00, 34.88423 
06-12-2016 21:45:00, 34.88545 
06-12-2016 22:00:00, 34.88606 
06-12-2016 22:15:00, 34.88667 
06-12-2016 22:30:00, 34.88728 
06-12-2016 22:45:00, 34.88728 
06-12-2016 23:00:00, 34.88728 
06-12-2016 23:15:00, 34.88789 
06-12-2016 23:30:00, 34.88849 
06-12-2016 23:45:00, 34.88849 
06-13-2016 00:00:00, 34.88971 
06-13-2016 00:15:00, 34.88971 
06-13-2016 00:30:00, 34.89032 
06-13-2016 00:45:00, 34.89032 
06-13-2016 01:00:00, 34.89154 
06-13-2016 01:15:00, 34.89154 
06-13-2016 01:30:00, 34.89275 
06-13-2016 01:45:00, 34.89397 
06-13-2016 02:00:00, 34.89458 
06-13-2016 02:15:00, 34.89458 
06-13-2016 02:30:00, 34.89519 
06-13-2016 02:45:00, 34.89519 
06-13-2016 03:00:00, 34.89579 
06-13-2016 03:15:00, 34.8964 
06-13-2016 03:30:00, 34.89701 
06-13-2016 03:45:00, 34.89883 
06-13-2016 04:00:00, 34.90005 
06-13-2016 04:15:00, 34.90005 
06-13-2016 04:30:00, 34.90126 
06-13-2016 04:45:00, 34.90187 
06-13-2016 05:00:00, 34.90248 
06-13-2016 05:15:00, 34.9037 
06-13-2016 05:30:00, 34.9037 
06-13-2016 05:45:00, 34.90431 
06-13-2016 06:00:00, 34.90492 
06-13-2016 06:15:00, 34.90675 
06-13-2016 06:30:00, 34.90736 
06-13-2016 06:45:00, 34.90736 
06-13-2016 07:00:00, 34.90797 
06-13-2016 07:15:00, 34.90858 
06-13-2016 07:30:00, 34.90918 
06-13-2016 07:45:00, 34.90858 
06-13-2016 08:00:00, 34.90614 
06-13-2016 08:15:00, 34.90614 
06-13-2016 08:30:00, 34.90005 
06-13-2016 08:45:00, 34.89823 
06-13-2016 09:00:00, 34.89762 
06-13-2016 09:15:00, 34.89823 
06-13-2016 09:30:00, 34.89883 
06-13-2016 09:45:00, 34.89701 
06-13-2016 10:00:00, 34.8964 
06-13-2016 10:15:00, 34.89458 
06-13-2016 10:30:00, 34.89336 
06-13-2016 10:45:00, 34.89214 
06-13-2016 11:00:00, 34.89154 
06-13-2016 11:15:00, 34.88971 
06-13-2016 11:30:00, 34.88849 
06-13-2016 11:45:00, 34.89093 
06-13-2016 12:00:00, 34.8891 
06-13-2016 12:15:00, 34.8891 
06-13-2016 12:30:00, 34.88789 
06-13-2016 12:45:00, 34.88667 
06-13-2016 13:00:00, 34.88606 
06-13-2016 13:15:00, 34.88484 
06-13-2016 13:30:00, 34.88484 
06-13-2016 13:45:00, 34.88423 
06-13-2016 14:00:00, 34.88484 
06-13-2016 14:15:00, 34.88363 
06-13-2016 14:30:00, 34.88484 
06-13-2016 14:45:00, 34.88363 
06-13-2016 15:00:00, 34.88423 
06-13-2016 15:15:00, 34.88484 
06-13-2016 15:30:00, 34.88423 
06-13-2016 15:45:00, 34.88363 
06-13-2016 16:00:00, 34.88484 
06-13-2016 16:15:00, 34.88363 
06-13-2016 16:30:00, 34.88301 
06-13-2016 16:45:00, 34.88423 
06-13-2016 17:00:00, 34.88667 
06-13-2016 17:15:00, 34.88484 
06-13-2016 17:30:00, 34.88849 
06-13-2016 17:45:00, 34.88971 
06-13-2016 18:00:00, 34.8891 
06-13-2016 18:15:00, 34.90126 
06-13-2016 18:30:00, 34.90675 
06-13-2016 18:45:00, 34.90797 
06-13-2016 19:00:00, 34.91405 
06-13-2016 19:15:00, 34.93962 
06-13-2016 19:30:00, 34.9451 
06-13-2016 19:45:00, 34.94631 
06-13-2016 20:00:00, 34.94692 
06-13-2016 20:15:00, 34.94753 
06-13-2016 20:30:00, 34.94753 
06-13-2016 20:45:00, 34.94875 
06-13-2016 21:00:00, 34.94875 
06-13-2016 21:15:00, 34.94875 
06-13-2016 21:30:00, 34.94875 
06-13-2016 21:45:00, 34.94997 
06-13-2016 22:00:00, 34.94997 
06-13-2016 22:15:00, 34.95058 
06-13-2016 22:30:00, 34.95058 
06-13-2016 22:45:00, 34.95058 
06-13-2016 23:00:00, 34.95058 
06-13-2016 23:15:00, 34.95058 
06-13-2016 23:30:00, 34.9518 
06-13-2016 23:45:00, 34.9518 
06-14-2016 00:00:00, 34.9524 
06-14-2016 00:15:00, 34.95301 
06-14-2016 00:30:00, 34.95301 
06-14-2016 00:45:00, 34.95362 
06-14-2016 01:00:00, 34.95301 
06-14-2016 01:15:00, 34.95362 
06-14-2016 01:30:00, 34.95423 
06-14-2016 01:45:00, 34.95423 
06-14-2016 02:00:00, 34.95423 
06-14-2016 02:15:00, 34.95484 
